shipment_id,order_date,vehicle_type,region,weather_condition,distance_km,delivery_time_hr,delivery_cost,customer_rating
SHIP1094,2026-01-28 10:00:00,Bike,East,Storm,11.37,4.53,3384.69272630783,
SHIP1095,2026-01-28 17:00:00,Truck,North,Rain,19.31,3.3,360.02,3.0
SHIP1096,2026-01-29 00:00:00,Truck,Central,Rain,12.27,2.56,628.3,5.0
SHIP1097,2026-01-29 07:00:00,Truck,Central,Rain,30.47,4.23,423.53,3.0
SHIP1098,2026-01-29 14:00:00,Van,West,Rain,9.53,2.13,486.72,
SHIP1099,2026-01-29 21:00:00,Van,South,Rain,18.51,5.92,576.56,4.0
SHIP1100,2026-01-30 04:00:00,Van,North,Storm,20.63,5.4,505.61,5.0
SHIP1101,2026-01-30 11:00:00,Bike,South,Fog,21.16,4.12,515.58,3.0
SHIP1102,2026-01-30 18:00:00,Van,North,Rain,13.35,4.02,557.35,2.0
SHIP1103,2026-01-31 01:00:00,Truck,West,Rain,10.84,3.96,196.0,1.0
SHIP1104,2026-01-31 08:00:00,Mini-Truck,West,Clear,13.47,,391.21,4.0
SHIP1105,2026-01-31 15:00:00,Van,Central,Rain,22.23,3.86,506.23,3.0
SHIP1106,2026-01-31 22:00:00,Truck,South,Clear,16.85,2.39,616.52,2.0
SHIP1107,2026-02-01 05:00:00,bike,Central,Clear,24.37,4.1,457.93,3.0
SHIP1108,2026-02-01 12:00:00,Van,South,Storm,21.82,4.54,348.63,3.0
SHIP1109,2026-02-01 19:00:00,Van,Central,,-0.22,3.05,351.83,5.0
SHIP1110,2026-02-02 02:00:00,Van,East,Clear,19.98,2.79,556.06,5.0
SHIP1111,2026-02-02 09:00:00,Van,East,Clear,36.0,2.05,423.87,5.0
SHIP1112,2026-02-02 16:00:00,Mini-Truck,East,Clear,28.6,5.25,449.14,
SHIP1113,2026-02-02 23:00:00,Bike,East,Rain,21.38,2.88,523.8,3.0
SHIP1114,2026-02-03 06:00:00,Bike,North,Clear,,3.26,101.82,1.0
SHIP1115,2026-02-03 13:00:00,Mini-Truck,East,Clear,21.82,3.86,690.04,4.0
SHIP1116,2026-02-03 20:00:00,Bike,West,Clear,23.92,3.84,362.27,5.0
SHIP1117,2026-02-04 03:00:00,Van,West,Rain,15.97,4.4,479.03,5.0
SHIP1118,2026-02-04 10:00:00,Mini-Truck,North,Rain,20.53,3.04,245.44,3.0
SHIP1119,2026-02-04 17:00:00,Truck,East,Clear,30.08,2.13,399.3,3.0
SHIP1120,2026-02-05 00:00:00,Bike,East,Clear,11.14,1.92,599.36,2.0
SHIP1121,2026-02-05 07:00:00,Mini-Truck,East,Clear,9.53,2.8,220.06,2.0
SHIP1122,2026-02-05 14:00:00,Van,Central,Rain,23.54,2.36,585.14,5.0
SHIP1123,2026-02-05 21:00:00,Van,South,Rain,21.66,3.14,417.16,3.0
SHIP1124,2026-02-06 04:00:00,Van,Central,Clear,26.23,5.07,508.46,1.0
SHIP1125,2026-02-06 11:00:00,Truck,South,Clear,22.56,3.05,528.9,4.0
SHIP1126,2026-02-06 18:00:00,Bike,East,Clear,13.46,3.05,502.97,3.0
SHIP1127,2026-02-07 01:00:00,Mini-Truck,East,Fog,21.46,3.48,346.21,3.0
SHIP1128,2026-02-07 08:00:00,Van,Central,Clear,,3.01,406.25,2.0
SHIP1129,2026-02-07 15:00:00,Truck,Central,Clear,16.0,3.42,274.61,4.0
SHIP1130,2026-02-07 22:00:00,Truck,South,Clear,22.02,4.15,509.02,5.0
SHIP1131,2026-02-08 05:00:00,Van,West,Clear,15.12,4.56,654.25,3.0
SHIP1132,2026-02-08 12:00:00,Van,South,Fog,37.74,4.7,231.07,5.0
SHIP1133,2026-02-08 19:00:00,Van,Central,Clear,2.86,5.97,358.6,3.0
SHIP1134,2026-02-09 02:00:00,Mini-Truck,Central,Rain,13.62,4.18,428.19,5.0
SHIP1135,2026-02-09 09:00:00,Van,North,Rain,10.5,6.18,470.8,4.0
SHIP1136,2026-02-09 16:00:00,Truck,Central,Clear,12.4,2.57,555.5,2.0
SHIP1137,2026-02-09 23:00:00,Bike,North,Clear,12.86,6.01,431.74,4.0
SHIP1138,2026-02-10 06:00:00,Truck,West,Fog,7.39,3.04,412.08,1.0
SHIP1139,2026-02-10 13:00:00,Mini-Truck,South,Clear,24.02,3.16,582.38,2.0
SHIP1140,2026-02-10 20:00:00,Mini-Truck,South,Clear,13.62,3.36,529.44,4.0
SHIP1141,2026-02-11 03:00:00,Van,North,Storm,19.31,3.24,514.68,
SHIP1142,2026-02-11 10:00:00,Truck,South,Clear,14.52,3.6,463.5,3.0
SHIP1143,2026-02-11 17:00:00,Van,Central,Clear,12.47,2.8,567.98,3.0
SHIP1144,2026-02-12 00:00:00,Van,East,Clear,31.38,4.5,371.24,5.0
SHIP1145,2026-02-12 07:00:00,Van,North,Fog,25.38,2.84,354.88,2.0
SHIP1146,2026-02-12 14:00:00,Bike,South,Clear,3.05,4.29,539.53,3.0
SHIP1147,2026-02-12 21:00:00,Truck,North,Clear,2.21,5.33,255.0,2.0
SHIP1148,2026-02-13 04:00:00,Van,North,Clear,26.34,3.07,461.06,3.0
SHIP1149,2026-02-13 11:00:00,Van,East,Clear,13.84,4.45,412.01,5.0
SHIP1150,2026-02-13 18:00:00,Mini-Truck,Central,Clear,4.81,4.17,281.31,4.0
SHIP1151,2026-02-14 01:00:00,Van,North,Clear,26.37,6.2,338.25,5.0
SHIP1152,2026-02-14 08:00:00,Van,South,Clear,19.35,2.89,436.92,1.0
SHIP1153,2026-02-14 15:00:00,Truck,West,Clear,20.01,4.45,574.08,3.0
SHIP1154,2026-02-14 22:00:00,Mini-Truck,North,Clear,24.48,1.55,371.65,1.0
SHIP1155,2026-02-15 05:00:00,van,North,Clear,7.52,2.9,595.61,1.0
SHIP1156,2026-02-15 12:00:00,Bike,East,Clear,4.95,3.92,457.58,2.0
SHIP1157,2026-02-15 19:00:00,Bike,Central,Clear,30.65,5.17,607.25,3.0
SHIP1158,2026-02-16 02:00:00,Van,West,Rain,6.5,,377.46,1.0
SHIP1159,2026-02-16 09:00:00,Bike,South,Clear,8.22,,444.14,4.0
SHIP1160,2026-02-16 16:00:00,Truck,West,Clear,9.82,3.42,494.22,1.0
SHIP1161,2026-02-16 23:00:00,bike,South,Clear,34.64,1.67,428.46,4.0
SHIP1162,2026-02-17 06:00:00,Bike,Central,Fog,21.95,3.72,564.36,
SHIP1163,2026-02-17 13:00:00,Truck,South,Rain,25.72,5.55,185.09,1.0
SHIP1164,2026-02-17 20:00:00,Van,East,Clear,19.57,2.16,740.69,5.0
SHIP1165,2026-02-18 03:00:00,Bike,East,Clear,13.18,3.37,552.93,2.0
SHIP1166,2026-02-18 10:00:00,Van,East,Fog,23.05,2.32,429.18,4.0
SHIP1167,2026-02-18 17:00:00,Van,East,Clear,,2.94,383.72,2.0
SHIP1168,2026-02-19 00:00:00,Van,West,Clear,9.24,5.22,346.03,1.0
SHIP1169,2026-02-19 07:00:00,Truck,Central,Clear,,3.17,527.47,3.0
SHIP1170,2026-02-19 14:00:00,Bike,South,Clear,7.14,5.18,569.4,3.0
SHIP1171,2026-02-19 21:00:00,Van,South,Storm,16.49,4.83,430.5,4.0
SHIP1172,2026-02-20 04:00:00,Truck,East,Rain,16.85,3.06,582.84,4.0
SHIP1173,2026-02-20 11:00:00,Van,East,Clear,13.77,2.9,341.13,3.0
SHIP1174,2026-02-20 18:00:00,Bike,North,Clear,2.39,2.42,319.94,4.0
SHIP1175,2026-02-21 01:00:00,Van,Central,Storm,12.97,2.38,667.6,2.0
SHIP1176,2026-02-21 08:00:00,Bike,West,Fog,11.4,3.92,520.93,5.0
SHIP1177,2026-02-21 15:00:00,Truck,South,Rain,19.29,3.48,617.62,5.0
SHIP1178,2026-02-21 22:00:00,Mini-Truck,North,Fog,,2.75,347.53,2.0
SHIP1179,2026-02-22 05:00:00,Van,North,Storm,21.02,1.64,,5.0
SHIP1180,2026-02-22 12:00:00,Van,South,Rain,12.59,3.63,406.97,1.0
SHIP1181,2026-02-22 19:00:00,Van,West,Clear,22.18,2.94,351.11,
SHIP1182,2026-02-23 02:00:00,Mini-Truck,North,Clear,5.55,3.27,534.64,4.0
SHIP1183,2026-02-23 09:00:00,Mini-Truck,North,Fog,3.42,,359.86,2.0
SHIP1184,2026-02-23 16:00:00,Van,Central,Clear,-0.68,0.5,309.4,3.0
SHIP1185,2026-02-23 23:00:00,Bike,West,Fog,14.01,1.66,467.04,4.0
SHIP1186,2026-02-24 06:00:00,Bike,North,Clear,11.97,6.26,295.2,3.0
SHIP1187,2026-02-24 13:00:00,Truck,West,Clear,24.31,2.89,234.06,4.0
SHIP1188,2026-02-24 20:00:00,Truck,South,Clear,12.81,0.48,465.99,5.0
SHIP1189,2026-02-25 03:00:00,Van,East,Clear,20.19,1.76,240.09,2.0
SHIP1190,2026-02-25 10:00:00,Van,North,Storm,24.51,6.48,543.03,1.0
SHIP1191,2026-02-25 17:00:00,Mini-Truck,Central,Fog,12.51,2.66,282.56,4.0
SHIP1192,2026-02-26 00:00:00,Mini-Truck,South,Fog,20.38,4.89,181.12,4.0
SHIP1193,2026-02-26 07:00:00,Bike,West,Rain,26.02,3.65,,3.0
SHIP1194,2026-02-26 14:00:00,Van,South,Clear,8.09,2.92,467.35,5.0
SHIP1195,2026-02-26 21:00:00,Van,North,Clear,18.2,4.43,508.98,3.0
SHIP1196,2026-02-27 04:00:00,Bike,West,Clear,12.54,0.64,470.64,3.0
SHIP1197,2026-02-27 11:00:00,Mini-Truck,East,Clear,8.6,1.77,322.88,5.0
SHIP1198,2026-02-27 18:00:00,Mini-Truck,South,Clear,5.71,2.91,535.57,1.0
SHIP1199,2026-02-28 01:00:00,Bike,North,Clear,8.47,1.89,565.22,3.0
SHIP1200,2026-02-28 08:00:00,Bike,Central,Clear,18.48,2.8,305.31,3.0
SHIP1201,2026-02-28 15:00:00,van,West,Storm,5.11,,428.28,4.0
SHIP1202,2026-02-28 22:00:00,Van,South,Fog,13.59,3.66,417.07,5.0
SHIP1203,2026-03-01 05:00:00,Mini-Truck,South,Clear,24.51,5.1,476.45,2.0
SHIP1204,2026-03-01 12:00:00,Bike,East,Rain,21.59,3.73,425.41,1.0
SHIP1205,2026-03-01 19:00:00,Van,East,Rain,13.76,4.69,441.85,1.0
SHIP1206,2026-03-02 02:00:00,Van,Central,Clear,,3.42,527.02,5.0
SHIP1207,2026-03-02 09:00:00,Bike,Central,Fog,33.14,2.79,316.34,4.0
SHIP1208,2026-03-02 16:00:00,Van,North,Fog,18.21,5.28,538.48,4.0
SHIP1209,2026-03-02 23:00:00,Van,North,Clear,-1.75,2.65,586.94,5.0
SHIP1210,2026-03-03 06:00:00,Truck,Central,Clear,25.09,3.91,646.1,4.0
SHIP1211,2026-03-03 13:00:00,Bike,Central,Clear,-0.35,4.42,192.8,1.0
SHIP1212,2026-03-03 20:00:00,Bike,West,Clear,29.81,4.51,428.05,1.0
SHIP1213,2026-03-04 03:00:00,Van,East,Clear,26.67,,214.19,2.0
SHIP1214,2026-03-04 10:00:00,Bike,North,Fog,32.19,4.76,157.79,5.0
SHIP1215,2026-03-04 17:00:00,Van,East,Clear,20.08,,467.29,3.0
SHIP1216,2026-03-05 00:00:00,Van,East,Clear,15.11,4.47,402.1,3.0
SHIP1217,2026-03-05 07:00:00,Bike,Central,Fog,14.4,4.14,485.98,2.0
SHIP1218,2026-03-05 14:00:00,Bike,West,Rain,13.63,4.48,508.34,2.0
SHIP1219,2026-03-05 21:00:00,Bike,South,Clear,25.85,2.05,599.75,
SHIP1220,2026-03-06 04:00:00,Bike,West,Clear,23.7,4.21,456.47,2.0
SHIP1221,2026-03-06 11:00:00,Truck,West,Clear,,4.8,800.8,2.0
SHIP1222,2026-03-06 18:00:00,Van,East,Rain,12.22,3.73,486.77,3.0
SHIP1223,2026-03-07 01:00:00,Truck,West,Clear,39.03,2.52,671.1,4.0
SHIP1224,2026-03-07 08:00:00,Van,North,Clear,25.3,4.6,170.06,2.0
SHIP1225,2026-03-07 15:00:00,Van,East,Storm,5.22,3.64,611.97,2.0
SHIP1226,2026-03-07 22:00:00,Mini-Truck,North,Clear,13.87,1.49,428.31,
SHIP1227,2026-03-08 05:00:00,Truck,South,Fog,25.45,2.42,216.2,5.0
SHIP1228,2026-03-08 12:00:00,Mini-Truck,East,Storm,11.6,2.87,500.47,4.0
SHIP1229,2026-03-08 19:00:00,Bike,South,Clear,20.81,5.31,413.65,3.0
SHIP1230,2026-03-09 02:00:00,Bike,East,Fog,25.61,5.1,519.61,5.0
SHIP1231,2026-03-09 09:00:00,Truck,Central,Clear,-9.11,5.09,571.33,1.0
SHIP1232,2026-03-09 16:00:00,Truck,West,Fog,17.14,3.78,271.3,4.0
SHIP1233,2026-03-09 23:00:00,Truck,Central,Clear,17.45,4.6,571.79,3.0
SHIP1234,2026-03-10 06:00:00,Van,South,Rain,14.7,2.13,450.78,5.0
SHIP1235,2026-03-10 13:00:00,Bike,West,Clear,20.41,3.51,612.34,4.0
SHIP1236,2026-03-10 20:00:00,Van,East,Fog,23.26,4.04,425.38,2.0
SHIP1237,2026-03-11 03:00:00,Van,West,Rain,19.14,2.21,393.55,4.0
SHIP1238,2026-03-11 10:00:00,Bike,North,Clear,15.01,3.75,453.25,1.0
SHIP1239,2026-03-11 17:00:00,Van,West,Fog,23.06,5.52,462.22,4.0
SHIP1240,2026-03-12 00:00:00,Mini-Truck,North,Clear,18.39,4.17,370.47,5.0
SHIP1241,2026-03-12 07:00:00,Mini-Truck,West,Clear,16.15,4.6,390.44,5.0
SHIP1242,2026-03-12 14:00:00,Mini-Truck,North,Clear,7.5,0.56,302.77,4.0
SHIP1243,2026-03-12 21:00:00,Truck,South,Clear,5.5,5.37,397.84,5.0
SHIP1244,2026-03-13 04:00:00,Van,Central,,7.35,3.28,531.16,2.0
SHIP1245,2026-03-13 11:00:00,Mini-Truck,East,Fog,20.23,2.58,433.52,4.0
SHIP1246,2026-03-13 18:00:00,Truck,West,Clear,17.37,3.29,571.09,2.0
SHIP1247,2026-03-14 01:00:00,Mini-Truck,Central,Rain,6.16,1.72,427.75,2.0
SHIP1248,2026-03-14 08:00:00,Mini-Truck,East,Clear,23.17,4.76,278.22,3.0
SHIP1249,2026-03-14 15:00:00,Mini-Truck,East,Fog,28.99,3.1,,
SHIP1250,2026-03-14 22:00:00,Van,North,Storm,13.21,2.61,369.17,5.0
SHIP1251,2026-03-15 05:00:00,Truck,South,Clear,4.07,3.3,422.0,2.0
SHIP1252,2026-03-15 12:00:00,mini-truck,South,Fog,12.33,4.84,598.51,3.0
SHIP1253,2026-03-15 19:00:00,Van,Central,Clear,24.84,3.66,310.7,4.0
SHIP1254,2026-03-16 02:00:00,Van,South,Fog,,,,4.0
SHIP1255,2026-03-16 09:00:00,Truck,West,Clear,10.62,4.06,445.14,1.0
SHIP1256,2026-03-16 16:00:00,mini-truck,South,Fog,30.17,2.39,534.11,1.0
SHIP1257,2026-03-16 23:00:00,Bike,Central,Clear,28.79,0.91,552.62,
SHIP1258,2026-03-17 06:00:00,Truck,South,Clear,12.14,5.3,481.66,1.0
SHIP1259,2026-03-17 13:00:00,Van,West,Rain,12.05,4.05,406.76,2.0
SHIP1260,2026-03-17 20:00:00,Bike,North,Clear,,3.41,506.8,5.0
SHIP1261,2026-03-18 03:00:00,Mini-Truck,Central,Clear,13.94,3.09,610.28,
SHIP1262,2026-03-18 10:00:00,Van,North,Clear,25.6,5.18,446.73,1.0
SHIP1263,2026-03-18 17:00:00,Truck,North,Clear,21.4,7.2,417.93,5.0
SHIP1264,2026-03-19 00:00:00,Mini-Truck,North,Clear,25.02,4.04,496.58,1.0
SHIP1265,2026-03-19 07:00:00,Bike,East,Clear,23.39,2.26,454.65,2.0
SHIP1266,2026-03-19 14:00:00,Bike,East,,31.72,3.31,289.47,3.0
SHIP1267,2026-03-19 21:00:00,Bike,North,,9.52,4.02,478.72,4.0
SHIP1268,2026-03-20 04:00:00,Truck,Central,Fog,21.04,0.68,288.39,1.0
SHIP1269,2026-03-20 11:00:00,Van,West,Clear,0.61,3.9,494.94,2.0
SHIP1270,2026-03-20 18:00:00,Bike,West,Clear,7.46,4.02,,5.0
SHIP1271,2026-03-21 01:00:00,Bike,South,Clear,17.4,5.09,454.42,1.0
SHIP1272,2026-03-21 08:00:00,Mini-Truck,Central,Clear,21.35,4.97,496.87,1.0
SHIP1273,2026-03-21 15:00:00,Mini-Truck,East,,17.19,,744.47,4.0
SHIP1274,2026-03-21 22:00:00,Truck,North,Clear,13.46,5.32,539.13,2.0
SHIP1275,2026-03-22 05:00:00,Truck,South,Clear,14.88,5.94,613.78,3.0
SHIP1276,2026-03-22 12:00:00,Bike,West,Rain,28.96,-3.53,674.61,5.0
SHIP1277,2026-03-22 19:00:00,Bike,East,Rain,14.93,4.0,508.71,2.0
SHIP1278,2026-03-23 02:00:00,Bike,East,Clear,31.99,1.38,484.28,5.0
SHIP1279,2026-03-23 09:00:00,Bike,North,Rain,24.35,1.76,321.99,1.0
SHIP1280,2026-03-23 16:00:00,Mini-Truck,West,Fog,21.66,2.49,436.0,4.0
SHIP1281,2026-03-23 23:00:00,Van,Central,Clear,8.45,2.97,363.23,4.0
SHIP1282,2026-03-24 06:00:00,Truck,East,Rain,25.48,2.18,401.87,3.0
SHIP1283,2026-03-24 13:00:00,Van,North,Rain,14.05,3.46,674.48,4.0
SHIP1284,2026-03-24 20:00:00,Truck,Central,Clear,8.44,3.0,463.75,1.0
SHIP1285,2026-03-25 03:00:00,Van,West,Clear,22.1,4.79,344.89,3.0
SHIP1286,2026-03-25 10:00:00,Truck,East,Clear,6.9,2.93,614.94,2.0
SHIP1287,2026-03-25 17:00:00,Truck,Central,Fog,424.3961580187748,0.76,564.63,4.0
SHIP1288,2026-03-26 00:00:00,Van,Central,Storm,17.92,3.65,570.92,
SHIP1289,2026-03-26 07:00:00,Truck,Central,Rain,35.75,3.48,209.26,1.0
SHIP1290,2026-03-26 14:00:00,Van,East,Clear,12.5,2.47,683.84,5.0
SHIP1291,2026-03-26 21:00:00,Van,East,Rain,14.33,3.61,382.98,5.0
SHIP1292,2026-03-27 04:00:00,Bike,South,Clear,23.86,2.21,543.35,1.0
SHIP1293,2026-03-27 11:00:00,Truck,West,Clear,8.09,3.9,752.86,1.0
SHIP1294,2026-03-27 18:00:00,Van,North,Clear,21.54,6.66,708.64,5.0
SHIP1295,2026-03-28 01:00:00,Truck,Central,Fog,27.65,1.33,332.69,3.0
SHIP1296,2026-03-28 08:00:00,Bike,South,Clear,15.54,2.88,276.66,5.0
SHIP1297,2026-03-28 15:00:00,Van,North,Fog,26.21,2.69,621.64,1.0
SHIP1298,2026-03-28 22:00:00,Bike,South,Clear,20.33,2.98,467.05,
SHIP1299,2026-03-29 05:00:00,Van,East,Clear,12.15,4.72,389.89,2.0
SHIP1300,2026-03-29 12:00:00,Van,Central,Clear,16.42,4.15,524.55,4.0
SHIP1301,2026-03-29 19:00:00,Truck,North,Clear,14.96,4.52,430.45,4.0
